Taxon,Location,Year,EarWeight,DaysToSilk
Z003E0001,NY,2006,NA,NA
Z003E0001,NY,2007,47,856.384445
Z003E0002,NY,2006,NA,964.80278
Z003E0002,NY,2007,53,972.77389
Z003E0003,NY,2006,NA,NA
Z003E0003,NY,2007,NA,1005.27389
Z003E0004,NY,2006,58.5,964.80278
Z003E0004,NY,2007,NA,896.110555
Z003E0005,NY,2006,60,964.80278
Z003E0005,NY,2007,NA,930.831665
Z003E0006,NY,2006,68,NA
Z003E0006,NY,2007,105,904.163335
Z003E0007,NY,2006,96,881.610555
Z003E0007,NY,2007,NA,870.27389
Z003E0008,NY,2006,56,964.80278
Z003E0008,NY,2007,NA,930.831665
Z003E0009,NY,2006,133,881.610555
Z003E0009,NY,2007,NA,828.610555
Z003E0010,NY,2006,35,964.80278
Z003E0010,NY,2007,NA,818.610555
Z003E0011,NY,2006,NA,964.80278
Z003E0011,NY,2007,76,883.331665
Z003E0012,NY,2006,NA,NA
Z003E0012,NY,2007,150,870.27389
Z003E0013,NY,2006,NA,954.02389
Z003E0013,NY,2007,NA,916.110555
Z003E0014,NY,2006,NA,944.110555
Z003E0014,NY,2007,80,883.331665
Z003E0015,NY,2006,65,964.80278
Z003E0015,NY,2007,90,NA
Z003E0016,NY,2006,34,964.80278
Z003E0016,NY,2007,57,904.163335
Z003E0017,NY,2006,67,964.80278
Z003E0017,NY,2007,NA,896.110555
Z003E0018,NY,2006,54,964.80278
Z003E0018,NY,2007,95,938.884445
Z003E0019,NY,2006,57,964.80278
Z003E0019,NY,2007,NA,841.663335
Z003E0020,NY,2006,71,964.80278
Z003E0020,NY,2007,53,949.163335
Z003E0021,NY,2006,NA,944.110555
Z003E0021,NY,2007,NA,841.663335
Z003E0022,NY,2006,NA,964.80278
Z003E0022,NY,2007,85,870.27389
Z003E0023,NY,2006,NA,964.80278
Z003E0023,NY,2007,67,1005.27389
Z003E0024,NY,2006,NA,NA
Z003E0024,NY,2007,173,883.331665
Z003E0025,NY,2006,63,964.80278
Z003E0025,NY,2007,NA,870.27389
Z003E0026,NY,2006,76,954.02389
Z003E0026,NY,2007,NA,818.610555
Z003E0027,NY,2006,13,964.80278
Z003E0027,NY,2007,NA,870.27389
Z003E0028,NY,2006,NA,NA
Z003E0028,NY,2007,NA,NA
Z003E0029,NY,2006,77,964.80278
Z003E0029,NY,2007,NA,916.110555
Z003E0030,NY,2006,NA,964.80278
Z003E0030,NY,2007,NA,1005.27389
Z003E0031,NY,2006,NA,964.80278
Z003E0031,NY,2007,NA,980.831665
Z003E0032,NY,2006,NA,964.80278
Z003E0032,NY,2007,45.5,904.163335
Z003E0033,NY,2006,18,NA
Z003E0033,NY,2007,NA,938.884445
Z003E0034,NY,2006,NA,964.80278
Z003E0034,NY,2007,NA,949.163335
Z003E0035,NY,2006,63,964.80278
Z003E0035,NY,2007,NA,856.384445
Z003E0036,NY,2006,49,964.80278
Z003E0036,NY,2007,NA,896.110555
Z003E0037,NY,2006,39,NA
Z003E0037,NY,2007,33,916.110555
Z003E0038,NY,2006,92,964.80278
Z003E0038,NY,2007,76,904.163335
Z003E0039,NY,2006,NA,NA
Z003E0039,NY,2007,51,904.163335
Z003E0040,NY,2006,NA,964.80278
Z003E0040,NY,2007,44,930.831665
Z003E0041,NY,2006,NA,NA
Z003E0041,NY,2007,NA,NA
Z003E0042,NY,2006,NA,964.80278
Z003E0042,NY,2007,NA,938.884445
Z003E0043,NY,2006,82,904.77389
Z003E0043,NY,2007,72,856.384445
Z003E0044,NY,2006,NA,964.80278
Z003E0044,NY,2007,NA,904.163335
Z003E0045,NY,2006,52,964.80278
Z003E0045,NY,2007,98,938.884445
Z003E0046,NY,2006,NA,964.80278
Z003E0046,NY,2007,NA,870.27389
Z003E0047,NY,2006,NA,NA
Z003E0047,NY,2007,NA,961.110555
Z003E0048,NY,2006,NA,NA
Z003E0048,NY,2007,NA,994.163335
Z003E0049,NY,2006,NA,964.80278
Z003E0049,NY,2007,NA,938.884445
Z003E0050,NY,2006,55,964.80278
Z003E0050,NY,2007,107,904.163335
Z003E0051,NY,2006,NA,964.80278
Z003E0051,NY,2007,NA,1005.27389
Z003E0052,NY,2006,56,954.02389
Z003E0052,NY,2007,NA,805.27389
Z003E0053,NY,2006,66,NA
Z003E0053,NY,2007,NA,916.110555
Z003E0054,NY,2006,NA,964.80278
Z003E0054,NY,2007,87,1005.27389
Z003E0055,NY,2006,NA,936.94222
Z003E0055,NY,2007,NA,961.110555
Z003E0056,NY,2006,68,NA
Z003E0056,NY,2007,NA,930.831665
Z003E0057,NY,2006,NA,964.80278
Z003E0057,NY,2007,64,1005.27389
Z003E0058,NY,2006,29,964.80278
Z003E0058,NY,2007,81,828.610555
Z003E0059,NY,2006,NA,964.80278
Z003E0059,NY,2007,NA,1005.27389
Z003E0060,NY,2006,87,NA
Z003E0060,NY,2007,NA,NA
Z003E0061,NY,2006,NA,NA
Z003E0061,NY,2007,114,856.384445
Z003E0062,NY,2006,NA,964.80278
Z003E0062,NY,2007,57,1005.27389
Z003E0063,NY,2006,NA,964.80278
Z003E0063,NY,2007,NA,916.110555
Z003E0064,NY,2006,187,936.94222
Z003E0064,NY,2007,206,904.163335
Z003E0065,NY,2006,56,964.80278
Z003E0065,NY,2007,NA,916.110555
Z003E0066,NY,2006,33,964.80278
Z003E0066,NY,2007,NA,NA
Z003E0067,NY,2006,59,964.80278
Z003E0067,NY,2007,49,896.110555
Z003E0068,NY,2006,37,964.80278
Z003E0068,NY,2007,NA,883.331665
Z003E0069,NY,2006,NA,930.47111
Z003E0069,NY,2007,47,NA
Z003E0070,NY,2006,NA,924.110555
Z003E0070,NY,2007,NA,841.663335
Z003E0071,NY,2006,49,964.80278
Z003E0071,NY,2007,NA,896.110555
Z003E0072,NY,2006,25,964.80278
Z003E0072,NY,2007,NA,972.77389
Z003E0073,NY,2006,75,964.80278
Z003E0073,NY,2007,NA,949.163335
Z003E0074,NY,2006,NA,964.80278
Z003E0074,NY,2007,NA,916.110555
Z003E0075,NY,2006,NA,924.110555
Z003E0075,NY,2007,31,870.27389
Z003E0076,NY,2006,55,NA
Z003E0076,NY,2007,NA,828.610555
Z003E0077,NY,2006,NA,964.80278
Z003E0077,NY,2007,67,949.163335
Z003E0078,NY,2006,59,964.80278
Z003E0078,NY,2007,NA,949.163335
Z003E0079,NY,2006,74,964.80278
Z003E0079,NY,2007,95,883.331665
Z003E0080,NY,2006,NA,NA
Z003E0080,NY,2007,NA,904.163335
Z003E0081,NY,2006,NA,NA
Z003E0081,NY,2007,55,904.163335
Z003E0082,NY,2006,62,964.80278
Z003E0082,NY,2007,NA,949.163335
Z003E0083,NY,2006,NA,964.80278
Z003E0083,NY,2007,NA,1005.27389
Z003E0084,NY,2006,25,964.80278
Z003E0084,NY,2007,NA,818.610555
Z003E0085,NY,2006,48.5,964.80278
Z003E0085,NY,2007,NA,841.663335
Z003E0086,NY,2006,43,964.80278
Z003E0086,NY,2007,NA,896.110555
Z003E0087,NY,2006,32,964.80278
Z003E0087,NY,2007,NA,904.163335
Z003E0088,NY,2006,NA,NA
Z003E0088,NY,2007,63,883.331665
Z003E0089,NY,2006,NA,964.80278
Z003E0089,NY,2007,48,896.110555
Z003E0090,NY,2006,53,964.80278
Z003E0090,NY,2007,117,896.110555
Z003E0091,NY,2006,66,964.80278
Z003E0091,NY,2007,NA,883.331665
Z003E0092,NY,2006,78,904.77389
Z003E0092,NY,2007,NA,841.663335
Z003E0093,NY,2006,35,964.80278
Z003E0093,NY,2007,NA,961.110555
Z003E0094,NY,2006,NA,NA
Z003E0094,NY,2007,NA,938.884445
Z003E0095,NY,2006,NA,964.80278
Z003E0095,NY,2007,NA,961.110555
Z003E0096,NY,2006,31,964.80278
Z003E0096,NY,2007,96,896.110555
Z003E0097,NY,2006,NA,964.80278
Z003E0097,NY,2007,NA,994.163335
Z003E0098,NY,2006,74,964.80278
Z003E0098,NY,2007,NA,870.27389
Z003E0099,NY,2006,NA,964.80278
Z003E0099,NY,2007,NA,1005.27389
Z003E0100,NY,2006,50,964.80278
Z003E0100,NY,2007,NA,916.110555
Z003E0101,NY,2006,51,964.80278
Z003E0101,NY,2007,39.5,930.831665
Z003E0102,NY,2006,44,964.80278
Z003E0102,NY,2007,32,949.163335
Z003E0103,NY,2006,40,964.80278
Z003E0103,NY,2007,NA,NA
Z003E0104,NY,2006,80,964.80278
Z003E0104,NY,2007,NA,904.163335
Z003E0105,NY,2006,NA,964.80278
Z003E0105,NY,2007,NA,896.110555
Z003E0106,NY,2006,64,936.94222
Z003E0106,NY,2007,NA,870.27389
Z003E0107,NY,2006,63,913.634445
Z003E0107,NY,2007,NA,805.27389
Z003E0108,NY,2006,NA,NA
Z003E0108,NY,2007,NA,949.163335
Z003E0109,NY,2006,NA,964.80278
Z003E0109,NY,2007,68.5,938.884445
Z003E0110,NY,2006,52,944.110555
Z003E0110,NY,2007,88,883.331665
Z003E0111,NY,2006,61.5,944.110555
Z003E0111,NY,2007,NA,916.110555
Z003E0112,NY,2006,49,964.80278
Z003E0112,NY,2007,47,883.331665
Z003E0113,NY,2006,63,964.80278
Z003E0113,NY,2007,NA,818.610555
Z003E0114,NY,2006,55,954.02389
Z003E0114,NY,2007,NA,904.163335
Z003E0115,NY,2006,NA,944.110555
Z003E0115,NY,2007,NA,916.110555
Z003E0116,NY,2006,NA,964.80278
Z003E0116,NY,2007,NA,904.163335
Z003E0117,NY,2006,75.5,964.80278
Z003E0117,NY,2007,82,883.331665
Z003E0118,NY,2006,60,964.80278
Z003E0118,NY,2007,NA,961.110555
Z003E0119,NY,2006,31,NA
Z003E0119,NY,2007,141,818.610555
Z003E0120,NY,2006,76,NA
Z003E0120,NY,2007,NA,916.110555
Z003E0121,NY,2006,NA,964.80278
Z003E0121,NY,2007,NA,904.163335
Z003E0122,NY,2006,48,964.80278
Z003E0122,NY,2007,100,904.163335
Z003E0123,NY,2006,72,964.80278
Z003E0123,NY,2007,56,916.110555
Z003E0124,NY,2006,72,964.80278
Z003E0124,NY,2007,82,904.163335
Z003E0125,NY,2006,NA,964.80278
Z003E0125,NY,2007,NA,1000.27389
Z003E0126,NY,2006,42,964.80278
Z003E0126,NY,2007,39,896.110555
Z003E0127,NY,2006,NA,964.80278
Z003E0127,NY,2007,NA,961.110555
Z003E0128,NY,2006,76,881.610555
Z003E0128,NY,2007,NA,805.27389
Z003E0129,NY,2006,60.5,964.80278
Z003E0129,NY,2007,NA,916.110555
Z003E0130,NY,2006,NA,964.80278
Z003E0130,NY,2007,52,994.163335
Z003E0131,NY,2006,NA,964.80278
Z003E0131,NY,2007,NA,949.163335
Z003E0132,NY,2006,94,964.80278
Z003E0132,NY,2007,77,856.384445
Z003E0133,NY,2006,33,NA
Z003E0133,NY,2007,100,904.163335
Z003E0134,NY,2006,55,964.80278
Z003E0134,NY,2007,NA,930.831665
Z003E0135,NY,2006,NA,NA
Z003E0135,NY,2007,98,1000.27389
Z003E0136,NY,2006,NA,NA
Z003E0136,NY,2007,89,938.884445
Z003E0137,NY,2006,33,913.634445
Z003E0137,NY,2007,NA,759.163335
Z003E0138,NY,2006,97,913.634445
Z003E0138,NY,2007,NA,904.163335
Z003E0139,NY,2006,55,964.80278
Z003E0139,NY,2007,NA,NA
Z003E0140,NY,2006,48,964.80278
Z003E0140,NY,2007,82,916.110555
Z003E0141,NY,2006,39,964.80278
Z003E0141,NY,2007,NA,870.27389
Z003E0142,NY,2006,79.5,904.77389
Z003E0142,NY,2007,46,870.27389
Z003E0143,NY,2006,56,964.80278
Z003E0143,NY,2007,NA,1005.27389
Z003E0144,NY,2006,NA,NA
Z003E0144,NY,2007,NA,1005.27389
Z003E0145,NY,2006,58,NA
Z003E0145,NY,2007,NA,904.163335
Z003E0146,NY,2006,NA,NA
Z003E0146,NY,2007,48,916.110555
Z003E0147,NY,2006,35.5,944.110555
Z003E0147,NY,2007,73,938.884445
Z003E0148,NY,2006,54,964.80278
Z003E0148,NY,2007,103,856.384445
Z003E0149,NY,2006,91,964.80278
Z003E0149,NY,2007,NA,994.163335
Z003E0150,NY,2006,46,NA
Z003E0150,NY,2007,NA,856.384445
Z003E0151,NY,2006,NA,964.80278
Z003E0151,NY,2007,NA,916.110555
Z003E0152,NY,2006,97,964.80278
Z003E0152,NY,2007,105,788.331665
Z003E0153,NY,2006,NA,NA
Z003E0153,NY,2007,NA,904.163335
Z003E0154,NY,2006,43,930.47111
Z003E0154,NY,2007,110,828.610555
Z003E0155,NY,2006,NA,NA
Z003E0155,NY,2007,NA,904.163335
Z003E0156,NY,2006,46,NA
Z003E0156,NY,2007,44,994.163335
Z003E0157,NY,2006,NA,964.80278
Z003E0157,NY,2007,NA,1005.27389
Z003E0158,NY,2006,66,964.80278
Z003E0158,NY,2007,NA,828.610555
Z003E0159,NY,2006,73,964.80278
Z003E0159,NY,2007,NA,930.831665
Z003E0160,NY,2006,75,930.47111
Z003E0160,NY,2007,NA,841.663335
Z003E0161,NY,2006,55,964.80278
Z003E0161,NY,2007,NA,1005.27389
Z003E0162,NY,2006,NA,NA
Z003E0162,NY,2007,61,870.27389
Z003E0163,NY,2006,46,964.80278
Z003E0163,NY,2007,115,916.110555
Z003E0164,NY,2006,NA,954.02389
Z003E0164,NY,2007,NA,883.331665
Z003E0165,NY,2006,NA,964.80278
Z003E0165,NY,2007,35.5,961.110555
Z003E0166,NY,2006,58,964.80278
Z003E0166,NY,2007,104,805.27389
Z003E0167,NY,2006,NA,964.80278
Z003E0167,NY,2007,45,883.331665
Z003E0168,NY,2006,65,913.634445
Z003E0168,NY,2007,66,818.610555
Z003E0169,NY,2006,NA,NA
Z003E0169,NY,2007,66,994.163335
Z003E0170,NY,2006,35,NA
Z003E0170,NY,2007,NA,856.384445
Z003E0171,NY,2006,NA,964.80278
Z003E0171,NY,2007,44,961.110555
Z003E0172,NY,2006,NA,964.80278
Z003E0172,NY,2007,69,1005.27389
Z003E0173,NY,2006,35,964.80278
Z003E0173,NY,2007,93,883.331665
Z003E0174,NY,2006,40,964.80278
Z003E0174,NY,2007,NA,1005.27389
Z003E0175,NY,2006,50,944.110555
Z003E0175,NY,2007,NA,856.384445
Z003E0176,NY,2006,20,NA
Z003E0176,NY,2007,NA,938.884445
Z003E0177,NY,2006,NA,964.80278
Z003E0177,NY,2007,26,904.163335
Z003E0178,NY,2006,NA,964.80278
Z003E0178,NY,2007,90,949.163335
Z003E0179,NY,2006,NA,954.02389
Z003E0179,NY,2007,35,938.884445
Z003E0180,NY,2006,42,964.80278
Z003E0180,NY,2007,NA,938.884445
Z003E0181,NY,2006,123,924.110555
Z003E0181,NY,2007,NA,828.610555
Z003E0182,NY,2006,NA,954.02389
Z003E0182,NY,2007,NA,NA
Z003E0183,NY,2006,35,964.80278
Z003E0183,NY,2007,NA,961.110555
Z003E0184,NY,2006,NA,964.80278
Z003E0184,NY,2007,56,856.384445
Z003E0185,NY,2006,24,964.80278
Z003E0185,NY,2007,66,883.331665
Z003E0186,NY,2006,NA,964.80278
Z003E0186,NY,2007,NA,1005.27389
Z003E0187,NY,2006,90,964.80278
Z003E0187,NY,2007,89,916.110555
Z003E0188,NY,2006,NA,NA
Z003E0188,NY,2007,43,949.163335
Z003E0189,NY,2006,NA,NA
Z003E0189,NY,2007,NA,788.331665
Z003E0190,NY,2006,31,924.110555
Z003E0190,NY,2007,85,883.331665
Z003E0191,NY,2006,NA,964.80278
Z003E0191,NY,2007,NA,961.110555
Z003E0192,NY,2006,NA,964.80278
Z003E0192,NY,2007,NA,1005.27389
Z003E0193,NY,2006,NA,NA
Z003E0193,NY,2007,NA,896.110555
Z003E0194,NY,2006,NA,964.80278
Z003E0194,NY,2007,NA,856.384445
Z003E0195,NY,2006,34,NA
Z003E0195,NY,2007,NA,938.884445
Z003E0196,NY,2006,66,964.80278
Z003E0196,NY,2007,103,883.331665
Z003E0197,NY,2006,30,964.80278
Z003E0197,NY,2007,NA,870.27389
Z003E0198,NY,2006,94,944.110555
Z003E0198,NY,2007,NA,828.610555
Z003E0199,NY,2006,83,964.80278
Z003E0199,NY,2007,77,870.27389
Z003E0200,NY,2006,NA,964.80278
Z003E0200,NY,2007,NA,961.110555
Z003E0201,NY,2006,71.81818182,917.7864445
Z003E0201,NY,2007,110.8571429,822.9494444
Z003E0202,NY,2006,NA,964.80278
Z003E0202,NY,2007,NA,1005.27389
Z003E0212,NY,2006,NA,NA
Z003E0212,NY,2007,NA,NA
Z003E0220,NY,2006,NA,NA
Z003E0220,NY,2007,NA,NA
Z003E0266,NY,2006,NA,NA
Z003E0266,NY,2007,NA,NA
Z005E0001,NY,2006,115,870.55278
Z005E0001,NY,2007,118,818.610555
Z005E0002,NY,2006,124,936.94222
Z005E0002,NY,2007,NA,828.610555
Z005E0003,NY,2006,NA,NA
Z005E0003,NY,2007,28,961.110555
Z005E0004,NY,2006,90,964.80278
Z005E0004,NY,2007,68,916.110555
Z005E0005,NY,2006,49,964.80278
Z005E0005,NY,2007,NA,938.884445
Z005E0006,NY,2006,NA,NA
Z005E0006,NY,2007,NA,1005.27389
Z005E0007,NY,2006,95,904.77389
Z005E0007,NY,2007,75,828.610555
Z005E0008,NY,2006,65,964.80278
Z005E0008,NY,2007,60,938.884445
Z005E0009,NY,2006,73,964.80278
Z005E0009,NY,2007,NA,883.331665
Z005E0010,NY,2006,NA,NA
Z005E0010,NY,2007,NA,NA
Z005E0011,NY,2006,NA,NA
Z005E0011,NY,2007,NA,788.331665
Z005E0012,NY,2006,NA,964.80278
Z005E0012,NY,2007,66,883.331665
Z005E0013,NY,2006,147,936.94222
Z005E0013,NY,2007,85,870.27389
Z005E0014,NY,2006,103,954.02389
Z005E0014,NY,2007,NA,938.884445
Z005E0015,NY,2006,NA,NA
Z005E0015,NY,2007,NA,NA
Z005E0016,NY,2006,66,936.94222
Z005E0016,NY,2007,NA,870.27389
Z005E0017,NY,2006,NA,NA
Z005E0017,NY,2007,63,994.163335
Z005E0018,NY,2006,NA,NA
Z005E0018,NY,2007,NA,938.884445
Z005E0019,NY,2006,NA,NA
Z005E0019,NY,2007,NA,828.610555
Z005E0020,NY,2006,115,964.80278
Z005E0020,NY,2007,105,930.831665
Z005E0021,NY,2006,64,924.110555
Z005E0021,NY,2007,63,841.663335
Z005E0022,NY,2006,64,964.80278
Z005E0022,NY,2007,74,904.163335
Z005E0023,NY,2006,67,964.80278
Z005E0023,NY,2007,NA,930.831665
Z005E0024,NY,2006,124,936.94222
Z005E0024,NY,2007,NA,870.27389
Z005E0025,NY,2006,91,964.80278
Z005E0025,NY,2007,NA,NA
Z005E0026,NY,2006,131,954.02389
Z005E0026,NY,2007,NA,930.831665
Z005E0027,NY,2006,NA,964.80278
Z005E0027,NY,2007,75.5,841.663335
Z005E0028,NY,2006,50,NA
Z005E0028,NY,2007,NA,980.831665
Z005E0029,NY,2006,84,944.110555
Z005E0029,NY,2007,70,930.831665
Z005E0030,NY,2006,86,964.80278
Z005E0030,NY,2007,155,818.610555
Z005E0031,NY,2006,17,964.80278
Z005E0031,NY,2007,NA,818.610555
Z005E0032,NY,2006,75,NA
Z005E0032,NY,2007,55,NA
Z005E0033,NY,2006,78,964.80278
Z005E0033,NY,2007,NA,916.110555
Z005E0034,NY,2006,NA,NA
Z005E0034,NY,2007,28,1005.27389
Z005E0035,NY,2006,70,964.80278
Z005E0035,NY,2007,NA,896.110555
Z005E0036,NY,2006,NA,NA
Z005E0036,NY,2007,NA,1005.27389
Z005E0037,NY,2006,NA,964.80278
Z005E0037,NY,2007,NA,980.831665
Z005E0038,NY,2006,66,964.80278
Z005E0038,NY,2007,61,1000.27389
Z005E0039,NY,2006,NA,964.80278
Z005E0039,NY,2007,46,938.884445
Z005E0040,NY,2006,55,964.80278
Z005E0040,NY,2007,61,930.831665
Z005E0041,NY,2006,103,964.80278
Z005E0041,NY,2007,29,NA
Z005E0042,NY,2006,NA,NA
Z005E0042,NY,2007,115,856.384445
Z005E0043,NY,2006,NA,964.80278
Z005E0043,NY,2007,111,883.331665
Z005E0044,NY,2006,NA,NA
Z005E0044,NY,2007,NA,788.331665
Z005E0045,NY,2006,52,964.80278
Z005E0045,NY,2007,38.5,961.110555
Z005E0046,NY,2006,118,964.80278
Z005E0046,NY,2007,NA,896.110555
Z005E0047,NY,2006,43.5,NA
Z005E0047,NY,2007,118,828.610555
Z005E0048,NY,2006,NA,NA
Z005E0048,NY,2007,NA,NA
Z005E0049,NY,2006,NA,NA
Z005E0049,NY,2007,41,1005.27389
Z005E0050,NY,2006,NA,964.80278
Z005E0050,NY,2007,NA,938.884445
Z005E0051,NY,2006,41,NA
Z005E0051,NY,2007,NA,1005.27389
Z005E0052,NY,2006,60,964.80278
Z005E0052,NY,2007,66,870.27389
Z005E0053,NY,2006,27,NA
Z005E0053,NY,2007,75,NA
Z005E0054,NY,2006,49,964.80278
Z005E0054,NY,2007,93,930.831665
Z005E0055,NY,2006,97,964.80278
Z005E0055,NY,2007,NA,841.663335
Z005E0056,NY,2006,63,936.94222
Z005E0056,NY,2007,NA,904.163335
Z005E0057,NY,2006,76,964.80278
Z005E0057,NY,2007,101.5,896.110555
Z005E0058,NY,2006,NA,NA
Z005E0058,NY,2007,NA,1005.27389
Z005E0059,NY,2006,24,NA
Z005E0059,NY,2007,25,1005.27389
Z005E0060,NY,2006,87,964.80278
Z005E0060,NY,2007,NA,930.831665
Z005E0061,NY,2006,NA,964.80278
Z005E0061,NY,2007,73,938.884445
Z005E0062,NY,2006,45,964.80278
Z005E0062,NY,2007,31,870.27389
Z005E0063,NY,2006,93,NA
Z005E0063,NY,2007,90,916.110555
Z005E0064,NY,2006,NA,NA
Z005E0064,NY,2007,NA,1005.27389
Z005E0065,NY,2006,109,936.94222
Z005E0065,NY,2007,NA,870.27389
Z005E0066,NY,2006,34,964.80278
Z005E0066,NY,2007,NA,930.831665
Z005E0067,NY,2006,NA,964.80278
Z005E0067,NY,2007,NA,896.110555
Z005E0068,NY,2006,88,924.110555
Z005E0068,NY,2007,NA,883.331665
Z005E0069,NY,2006,46,964.80278
Z005E0069,NY,2007,45,904.163335
Z005E0070,NY,2006,43,NA
Z005E0070,NY,2007,47,904.163335
Z005E0071,NY,2006,40,NA
Z005E0071,NY,2007,NA,1000.27389
Z005E0072,NY,2006,NA,964.80278
Z005E0072,NY,2007,NA,949.163335
Z005E0073,NY,2006,NA,NA
Z005E0073,NY,2007,52,904.163335
Z005E0074,NY,2006,49,964.80278
Z005E0074,NY,2007,86,904.163335
Z005E0075,NY,2006,NA,913.634445
Z005E0075,NY,2007,NA,949.163335
Z005E0076,NY,2006,38,964.80278
Z005E0076,NY,2007,NA,1005.27389
Z005E0077,NY,2006,34,NA
Z005E0077,NY,2007,17,961.110555
Z005E0078,NY,2006,NA,NA
Z005E0078,NY,2007,NA,1005.27389
Z005E0079,NY,2006,119,924.110555
Z005E0079,NY,2007,79,805.27389
Z005E0080,NY,2006,98,964.80278
Z005E0080,NY,2007,150,841.663335
Z005E0081,NY,2006,128,832.163335
Z005E0081,NY,2007,NA,841.663335
Z005E0082,NY,2006,70,964.80278
Z005E0082,NY,2007,NA,904.163335
Z005E0083,NY,2006,52,964.80278
Z005E0083,NY,2007,75,870.27389
Z005E0084,NY,2006,80,944.110555
Z005E0084,NY,2007,75,883.331665
Z005E0085,NY,2006,51,924.110555
Z005E0085,NY,2007,NA,930.831665
Z005E0086,NY,2006,106,913.634445
Z005E0086,NY,2007,NA,856.384445
Z005E0087,NY,2006,100,944.110555
Z005E0087,NY,2007,NA,841.663335
Z005E0088,NY,2006,93,936.94222
Z005E0088,NY,2007,NA,904.163335
Z005E0089,NY,2006,30,NA
Z005E0089,NY,2007,NA,NA
Z005E0090,NY,2006,NA,954.02389
Z005E0090,NY,2007,NA,883.331665
Z005E0091,NY,2006,NA,NA
Z005E0091,NY,2007,62,870.27389
Z005E0092,NY,2006,46,964.80278
Z005E0092,NY,2007,53,1005.27389
Z005E0093,NY,2006,65,964.80278
Z005E0093,NY,2007,38,870.27389
Z005E0094,NY,2006,109,913.634445
Z005E0094,NY,2007,NA,841.663335
Z005E0095,NY,2006,54,NA
Z005E0095,NY,2007,99.5,883.331665
Z005E0096,NY,2006,43,964.80278
Z005E0096,NY,2007,NA,841.663335
Z005E0097,NY,2006,158,964.80278
Z005E0097,NY,2007,66,938.884445
Z005E0098,NY,2006,NA,NA
Z005E0098,NY,2007,NA,NA
Z005E0099,NY,2006,NA,936.94222
Z005E0099,NY,2007,NA,828.610555
Z005E0100,NY,2006,80,896.413335
Z005E0100,NY,2007,NA,883.331665
Z005E0101,NY,2006,69.5,NA
Z005E0101,NY,2007,NA,NA
Z005E0102,NY,2006,93,913.634445
Z005E0102,NY,2007,90,841.663335
Z005E0103,NY,2006,58,NA
Z005E0103,NY,2007,105,1005.27389
Z005E0104,NY,2006,37,964.80278
Z005E0104,NY,2007,NA,870.27389
Z005E0105,NY,2006,47,NA
Z005E0105,NY,2007,NA,856.384445
Z005E0106,NY,2006,27,964.80278
Z005E0106,NY,2007,NA,938.884445
Z005E0107,NY,2006,NA,NA
Z005E0107,NY,2007,105,870.27389
Z005E0108,NY,2006,92,964.80278
Z005E0108,NY,2007,116,870.27389
Z005E0109,NY,2006,93,936.94222
Z005E0109,NY,2007,NA,883.331665
Z005E0110,NY,2006,68,NA
Z005E0110,NY,2007,NA,856.384445
Z005E0111,NY,2006,71,913.634445
Z005E0111,NY,2007,NA,818.610555
Z005E0112,NY,2006,88.5,881.610555
Z005E0112,NY,2007,NA,841.663335
Z005E0113,NY,2006,71,924.110555
Z005E0113,NY,2007,NA,856.384445
Z005E0114,NY,2006,53,NA
